PULocationID,pickup_hour,cash_rate,trips
48,0,0.1023391812865497,2736
48,1,0.1023990637799883,1709
48,2,0.11952191235059761,1255
48,3,0.15853658536585366,902
48,4,0.1836441893830703,697
48,5,0.16090712742980562,926
48,6,0.13937547600913938,1313
48,7,0.1736930860033727,1779
48,8,0.13430042115114646,2137
48,9,0.17140600315955767,2532
48,10,0.17953386744355426,2746
48,11,0.16997792494481237,2718
48,12,0.17576853526220615,2765
48,13,0.17029119056395134,2713
48,14,0.1488095238095238,2856
48,15,0.15511079342387418,2798
48,16,0.15682029075162388,3233
48,17,0.13806654440660204,3817
48,18,0.13832986352070323,4323
48,19,0.13656387665198239,3859
48,20,0.12438327707089068,3851
48,21,0.10680308741698079,5571
48,22,0.10048731305662914,5951
48,23,0.10448496796451454,4058
68,0,0.10106085985482971,1791
68,1,0.12511584800741427,1079
68,2,0.12751677852348994,745
68,3,0.13097072419106318,649
68,4,0.15949367088607594,395
68,5,0.18122977346278318,309
68,6,0.1414141414141414,495
68,7,0.11851126346718903,1021
68,8,0.09887420460107685,2043
68,9,0.12117903930131005,2748
68,10,0.12950866231184321,3521
68,11,0.12879348630643966,4053
68,12,0.13223344003939916,4061
68,13,0.13351385128098314,4801
68,14,0.12037781350482316,4976
68,15,0.1188710341985991,4854
68,16,0.11030155838899008,4941
68,17,0.10114739629302737,5665
68,18,0.09476309226932668,6015
68,19,0.08999827258593884,5789
68,20,0.0798611111111111,4896
68,21,0.07974837662337662,4928
68,22,0.08008710379869344,4133
68,23,0.0823931623931624,2925
79,0,0.05152949745083758,5492
79,1,0.06060606060606061,5016
79,2,0.0762061403508772,3648
79,3,0.08506224066390042,2410
79,4,0.10653536257833482,1117
79,5,0.18562874251497005,334
79,6,0.17803030303030304,528
79,7,0.1111111111111111,738
79,8,0.10531496062992125,1016
79,9,0.14804660726525018,1459
79,10,0.13376623376623376,1540
79,11,0.1414141414141414,1584
79,12,0.1569767441860465,1892
79,13,0.15388683236382866,1891
79,14,0.14794007490636704,2136
79,15,0.15143120960295475,2166
79,16,0.1390032007315958,2187
79,17,0.1183009130607384,2519
79,18,0.09416317316994519,3101
79,19,0.08683551349846924,3593
79,20,0.07587216394242498,4099
79,21,0.07972665148063782,5268
79,22,0.06081201931675908,5591
79,23,0.06551164049810504,5541
107,0,0.0665068903535051,1669
107,1,0.0581039755351682,981
107,2,0.07987220447284345,626
107,3,0.10398230088495575,452
107,4,0.10060975609756098,328
107,5,0.21052631578947367,380
107,6,0.08058608058608059,819
107,7,0.11384399156711174,1423
107,8,0.09445910290237466,1895
107,9,0.11219910240718074,2451
107,10,0.14397190792040576,2563
107,11,0.13996948893974065,2622
107,12,0.132829373650108,2778
107,13,0.1429618768328446,2728
107,14,0.12812607057211373,2919
107,15,0.12232204561161023,2894
107,16,0.10997695093842608,3037
107,17,0.09833187006145742,3417
107,18,0.07992256637168142,3616
107,19,0.07153035052721574,3509
107,20,0.09093406593406593,3640
107,21,0.06989975616364129,3691
107,22,0.06592039800995025,3216
107,23,0.0745721271393643,2454
132,0,0.3461146929080421,5894
132,1,0.4149590163934426,2928
132,2,0.42105263157894735,1140
132,3,0.5337301587301587,504
132,4,0.5458015267175572,524
132,5,0.527124773960217,2212
132,6,0.4397537379067722,3411
132,7,0.36612296110414055,3985
132,8,0.33488237002614,3443
132,9,0.3183753684900098,3053
132,10,0.3444787861758921,3559
132,11,0.27276398142539876,4953
132,12,0.2431026684758028,4422
132,13,0.2221487603305785,6050
132,14,0.21297046902142444,8635
132,15,0.18528214077952299,10314
132,16,0.1744356493696863,10233
132,17,0.185352422907489,9080
132,18,0.21835883171070933,7909
132,19,0.2232774297837947,9898
132,20,0.2740527884206045,9396
132,21,0.30520685514681806,9161
132,22,0.30038022813688214,9468
132,23,0.29809773322701905,8779
138,0,0.11736792154381524,3161
138,1,0.12866449511400652,614
138,2,0.12962962962962962,54
138,3,0.2777777777777778,18
138,4,0.21739130434782608,23
138,5,0.30434782608695654,23
138,6,0.13953488372093023,86
138,7,0.06615384615384616,1300
138,8,0.08922226608764311,2533
138,9,0.0855277965338735,4443
138,10,0.09987493299982134,5597
138,11,0.0893407270486753,4869
138,12,0.1,5160
138,13,0.09737704918032787,6100
138,14,0.10882886972310486,8812
138,15,0.10844131337275129,7949
138,16,0.1103071470761961,6772
138,17,0.11574352799518363,6644
138,18,0.10550752481588216,6246
138,19,0.10229007633587786,5895
138,20,0.09881352930759696,5647
138,21,0.08804143126177025,6372
138,22,0.09741614508104639,6231
138,23,0.10984222389181067,6655
140,0,0.11386138613861387,404
140,1,0.11618257261410789,241
140,2,0.13445378151260504,119
140,3,0.14150943396226415,106
140,4,0.15873015873015872,126
140,5,0.12222222222222222,270
140,6,0.07188703465982028,779
140,7,0.08184461985874533,2407
140,8,0.08789431113507684,3709
140,9,0.1006993006993007,3575
140,10,0.12390294269488901,3874
140,11,0.1364835692012473,4169
140,12,0.13951195464629038,4057
140,13,0.13735001276487108,3917
140,14,0.1402410755679184,4314
140,15,0.12454508693894056,4946
140,16,0.121173738653156,4737
140,17,0.10252996005326231,4506
140,18,0.10310590631364562,3928
140,19,0.10468850353243417,3114
140,20,0.12131423757371525,2374
140,21,0.09881656804733728,1690
140,22,0.10566762728146013,1041
140,23,0.116991643454039,718
141,0,0.12512613521695257,991
141,1,0.1127946127946128,594
141,2,0.14204545454545456,352
141,3,0.1794871794871795,273
141,4,0.1206896551724138,232
141,5,0.1168091168091168,351
141,6,0.09430438842203548,1071
141,7,0.0906187624750499,2505
141,8,0.09495010583610523,3307
141,9,0.1041335453100159,3774
141,10,0.12005856515373353,4098
141,11,0.13688212927756654,4208
141,12,0.13501450569069404,4481
141,13,0.13714285714285715,4375
141,14,0.13367174280879865,4728
141,15,0.13108454312553372,4684
141,16,0.11698513800424629,4710
141,17,0.09949670925280682,5166
141,18,0.10441767068273092,5478
141,19,0.09291061206516953,4542
141,20,0.09798798014110269,3827
141,21,0.08399772209567198,3512
141,22,0.10152473038304202,2689
141,23,0.10532915360501567,1595
142,0,0.10091220068415051,1754
142,1,0.11382113821138211,492
142,2,0.15760869565217392,184
142,3,0.21649484536082475,97
142,4,0.1623931623931624,117
142,5,0.17073170731707318,246
142,6,0.16080402010050251,796
142,7,0.10935441370223979,2277
142,8,0.08369768894440974,3202
142,9,0.1190599173553719,3872
142,10,0.13126159554730985,4312
142,11,0.1323266441486191,5033
142,12,0.14082503556187767,5624
142,13,0.12920448478376936,5619
142,14,0.12743549236440233,5697
142,15,0.125,6248
142,16,0.12766629799336388,6329
142,17,0.11712546320804658,7556
142,18,0.11055022715800102,7924
142,19,0.10491299897645855,5862
142,20,0.10267398011655811,5834
142,21,0.10076066585822953,9071
142,22,0.10205850487540628,9230
142,23,0.09752851711026617,5260
161,0,0.10757180156657964,1915
161,1,0.09445843828715365,794
161,2,0.13310580204778158,293
161,3,0.1610738255033557,149
161,4,0.1623931623931624,234
161,5,0.14489311163895488,421
161,6,0.14746543778801843,1085
161,7,0.12863479546574666,2029
161,8,0.11097178683385579,3190
161,9,0.12986142154671435,4474
161,10,0.14196133077861,5741
161,11,0.14014146772767463,6786
161,12,0.1405590717299578,7584
161,13,0.13554801163918526,8248
161,14,0.13501611170784103,9310
161,15,0.1274286895411327,9676
161,16,0.11449963476990505,10952
161,17,0.10066582117945466,12616
161,18,0.10012210012210013,13104
161,19,0.08900572716176884,10651
161,20,0.08992195453003055,8841
161,21,0.0864938299558474,8833
161,22,0.08366921473245309,7195
161,23,0.09747474747474748,3960
162,0,0.13564213564213565,1386
162,1,0.10510510510510511,666
162,2,0.12232415902140673,327
162,3,0.20118343195266272,169
162,4,0.16062176165803108,193
162,5,0.1272365805168986,503
162,6,0.1628686327077748,1492
162,7,0.10736407432897453,2906
162,8,0.0982532751091703,4122
162,9,0.11917836078909905,4917
162,10,0.15215716486902928,5192
162,11,0.14666205465236942,5782
162,12,0.13834386431659462,6014
162,13,0.125638911788953,6065
162,14,0.12865776081424937,6288
162,15,0.11489838374139863,6249
162,16,0.0949086884338683,7228
162,17,0.08146801499829565,8801
162,18,0.08000431872165839,9262
162,19,0.0803559912292016,7753
162,20,0.07702426191172172,6842
162,21,0.08387196060326255,6498
162,22,0.08912544353997078,4791
162,23,0.08849557522123894,2599
163,0,0.13679245283018868,1484
163,1,0.15421303656597773,629
163,2,0.1471698113207547,265
163,3,0.14054054054054055,185
163,4,0.16666666666666666,258
163,5,0.16831683168316833,303
163,6,0.14285714285714285,511
163,7,0.1082036775106082,1414
163,8,0.11490125673249552,2228
163,9,0.13290278721957852,2942
163,10,0.1439153439153439,3780
163,11,0.13792325056433408,4430
163,12,0.13645418326693226,5020
163,13,0.13871517907902217,5277
163,14,0.13401525658807212,5768
163,15,0.1281398506449423,5892
163,16,0.1262617905014066,6043
163,17,0.1123531908872223,7067
163,18,0.10791935696402688,7589
163,19,0.10182641021496687,6187
163,20,0.09858609335657563,5163
163,21,0.08969907407407407,5184
163,22,0.10619627507163323,5584
163,23,0.11176108374384236,3248
164,0,0.1061662198391421,1865
164,1,0.10186757215619695,1178
164,2,0.11826347305389222,668
164,3,0.14027149321266968,442
164,4,0.17261904761904762,336
164,5,0.15447154471544716,246
164,6,0.145985401459854,411
164,7,0.14225941422594143,956
164,8,0.11163734776725305,1478
164,9,0.12834489593657086,2018
164,10,0.13669354838709677,2480
164,11,0.1397923875432526,2890
164,12,0.13328753005839916,2911
164,13,0.1472972972972973,2960
164,14,0.1430802874101843,3201
164,15,0.14229960972680877,3331
164,16,0.13070249090400224,3573
164,17,0.10945393312484965,4157
164,18,0.10877653753556576,4569
164,19,0.09877162196039108,3989
164,20,0.0990770901194354,3684
164,21,0.09074267782426779,3824
164,22,0.08363448631905007,3874
164,23,0.09726069559864574,3249
170,0,0.10499265785609398,1362
170,1,0.11461318051575932,698
170,2,0.15931372549019607,408
170,3,0.17488789237668162,223
170,4,0.20093457943925233,214
170,5,0.18082191780821918,365
170,6,0.14893617021276595,940
170,7,0.1246089676746611,1918
170,8,0.10459183673469388,3136
170,9,0.12218393851046912,3773
170,10,0.1360759493670886,4108
170,11,0.13728129205921938,4458
170,12,0.13339052112374009,4663
170,13,0.13788158164310593,4881
170,14,0.131078647188313,4997
170,15,0.1285341888911169,4987
170,16,0.10730007336757154,5452
170,17,0.10116550116550116,6435
170,18,0.09760247486465584,6465
170,19,0.0865607710155274,5603
170,20,0.08711963318049187,4798
170,21,0.08795763297259959,4343
170,22,0.0833101916134407,3601
170,23,0.09245439469320066,2412
186,0,0.09519725557461406,2332
186,1,0.11890999174236168,1211
186,2,0.14218009478672985,633
186,3,0.14659685863874344,382
186,4,0.16569767441860464,344
186,5,0.1411192214111922,1233
186,6,0.13359683794466404,2530
186,7,0.13245211761532236,3707
186,8,0.10208514335360556,4604
186,9,0.12742857142857142,5250
186,10,0.13760061326178613,5218
186,11,0.15363225582203685,5754
186,12,0.16316078287909275,5467
186,13,0.16087811271297509,6104
186,14,0.14465952298651918,5786
186,15,0.138913783832228,5579
186,16,0.123601687144691,5453
186,17,0.11378205128205128,6240
186,18,0.10959555908009516,6305
186,19,0.0958498023715415,6072
186,20,0.09525843656557027,4682
186,21,0.08217878155247675,5269
186,22,0.07770460959548448,5315
186,23,0.09355787222667736,3741
229,0,0.10199789695057834,951
229,1,0.11090573012939002,541
229,2,0.1286549707602339,342
229,3,0.13440860215053763,186
229,4,0.23036649214659685,191
229,5,0.10185185185185185,216
229,6,0.09221902017291066,694
229,7,0.10932297447280799,1802
229,8,0.11237721021611002,2545
229,9,0.12746858168761221,2785
229,10,0.12688524590163935,3050
229,11,0.1344727507255724,3101
229,12,0.15088481837938528,3221
229,13,0.14116137311517485,3117
229,14,0.13166144200626959,2871
229,15,0.13333333333333333,2730
229,16,0.12144702842377261,2709
229,17,0.11146963919037842,3409
229,18,0.10546475995914198,3916
229,19,0.10018214936247723,3294
229,20,0.10092067988668556,2824
229,21,0.09339328951919751,2891
229,22,0.10531496062992125,2032
229,23,0.11195054945054946,1456
230,0,0.1506172839506173,2430
230,1,0.17383966244725738,1185
230,2,0.1477832512315271,609
230,3,0.20168067226890757,476
230,4,0.17647058823529413,510
230,5,0.16183986371379896,587
230,6,0.1825813221406086,953
230,7,0.14517876489707476,1846
230,8,0.16,2625
230,9,0.17287157287157287,3465
230,10,0.1904176904176904,4070
230,11,0.18224081822408184,4302
230,12,0.1700956937799043,4180
230,13,0.1641513814720223,4307
230,14,0.15622280243690165,4596
230,15,0.1638830897703549,4790
230,16,0.1509557261885313,6121
230,17,0.1381980640357409,6715
230,18,0.14532310416051933,6778
230,19,0.1324670637069121,5541
230,20,0.12790088989705112,5731
230,21,0.12408312958435208,8180
230,22,0.11301457427767835,7822
230,23,0.12087227414330218,4815
234,0,0.07643020594965676,2185
234,1,0.07672413793103448,1160
234,2,0.0875,720
234,3,0.12154696132596685,362
234,4,0.12056737588652482,282
234,5,0.1390728476821192,151
234,6,0.07990314769975787,413
234,7,0.08404154863078375,1059
234,8,0.09384941675503712,1886
234,9,0.09403107113654947,2446
234,10,0.11326064016883573,2843
234,11,0.1177796562411947,3549
234,12,0.10937886661717397,4041
234,13,0.12036823935558112,4345
234,14,0.10684298908480269,4764
234,15,0.10934161973198679,5149
234,16,0.1054820415879017,5290
234,17,0.0879430274925472,6038
234,18,0.07990726429675425,6470
234,19,0.08971962616822429,5885
234,20,0.08479114601927883,5602
234,21,0.07641365257259297,5889
234,22,0.07054673721340388,5103
234,23,0.07767260579064587,3592
236,0,0.08492201039861352,577
236,1,0.1282051282051282,273
236,2,0.11382113821138211,123
236,3,0.25396825396825395,63
236,4,0.1839080459770115,87
236,5,0.09016393442622951,366
236,6,0.11524822695035461,1692
236,7,0.062412587412587414,5720
236,8,0.05958055290753098,8392
236,9,0.07768260766119439,8406
236,10,0.10308703889446116,8973
236,11,0.10771101428716182,9869
236,12,0.11034856420444283,11074
236,13,0.11764149157675563,10566
236,14,0.11809023215067893,11415
236,15,0.09896309850564196,13116
236,16,0.09093335706023667,11239
236,17,0.08581314878892733,11560
236,18,0.09251263206247129,10885
236,19,0.08077123501823867,7676
236,20,0.08878351863963375,6116
236,21,0.08946553059643687,5164
236,22,0.08202099737532809,3048
236,23,0.10704022988505747,1392
237,0,0.10813953488372093,1720
237,1,0.09535160905840286,839
237,2,0.14857142857142858,350
237,3,0.16587677725118483,211
237,4,0.13125,160
237,5,0.13120567375886524,282
237,6,0.1330834114339269,1067
237,7,0.08654797230464886,4044
237,8,0.08527375707992448,6356
237,9,0.10096855512803503,7537
237,10,0.12158693115519253,8570
237,11,0.1259244453328003,10006
237,12,0.12651631641893046,11706
237,13,0.12513290259262289,12227
237,14,0.12087756546355273,14130
237,15,0.11572635989308676,13843
237,16,0.11382424984690753,13064
237,17,0.09534400948991696,13488
237,18,0.10335662211421628,13168
237,19,0.09140784824251441,10754
237,20,0.09148102310231022,9696
237,21,0.0917300862506342,9855
237,22,0.08390836323488822,7246
237,23,0.09771366358192705,3674
238,0,0.15869017632241814,397
238,1,0.17647058823529413,170
238,2,0.24347826086956523,115
238,3,0.2714285714285714,70
238,4,0.22321428571428573,112
238,5,0.15384615384615385,299
238,6,0.11753183153770813,1021
238,7,0.10127157129881925,2202
238,8,0.08142726440988106,3279
238,9,0.10369318181818182,3520
238,10,0.12080359503039916,3783
238,11,0.12239256094496105,3979
238,12,0.12521109770808203,4145
238,13,0.13178503915743991,3703
238,14,0.122361868626986,4217
238,15,0.1006519967400163,4908
238,16,0.10760953112990007,3903
238,17,0.10196987253765932,4315
238,18,0.10144589552238806,4288
238,19,0.10317720275139207,3053
238,20,0.10951760104302477,2301
238,21,0.1061814556331007,2006
238,22,0.11898016997167139,1412
238,23,0.14180929095354522,818
239,0,0.10905349794238683,972
239,1,0.16703786191536749,449
239,2,0.16022099447513813,181
239,3,0.16666666666666666,72
239,4,0.16071428571428573,112
239,5,0.13870967741935483,310
239,6,0.1080797481636936,953
239,7,0.06748971193415639,2430
239,8,0.08039906103286384,3408
239,9,0.08970775095298603,3935
239,10,0.10101223112610713,4742
239,11,0.11472200469851214,5108
239,12,0.11454673225579762,5692
239,13,0.1277698355968549,5596
239,14,0.13606363174818073,5909
239,15,0.11302904564315353,6025
239,16,0.10265638389031705,5835
239,17,0.1077022444695624,6193
239,18,0.09252277725416273,6366
239,19,0.09901980396079216,4999
239,20,0.09131075110456553,4074
239,21,0.07667731629392971,4695
239,22,0.07059545733578883,3258
239,23,0.08442669709070165,1753
246,0,0.11003236245954692,927
246,1,0.0914396887159533,1028
246,2,0.08617234468937876,998
246,3,0.10018050541516245,1108
246,4,0.09259259259259259,432
246,5,0.22448979591836735,49
246,6,0.10483870967741936,124
246,7,0.05434782608695652,552
246,8,0.06997742663656885,886
246,9,0.09337589784517158,1253
246,10,0.08670886075949367,1580
246,11,0.11318242343541944,2253
246,12,0.11823204419889503,2715
246,13,0.11054637865311309,3148
246,14,0.11254295532646048,3492
246,15,0.12183969876277569,3718
246,16,0.10998062015503876,4128
246,17,0.09453176887314589,4517
246,18,0.07656186198448346,4898
246,19,0.08736528319192846,4361
246,20,0.09213726019994596,3701
246,21,0.09789156626506024,3320
246,22,0.08508732646663682,2233
246,23,0.09563994374120956,1422
249,0,0.05219893136046034,4866
249,1,0.05680351148980119,3873
249,2,0.05834683954619125,2468
249,3,0.08616010854816825,1474
249,4,0.12211221122112212,606
249,5,0.18324607329842932,191
249,6,0.06606606606606606,333
249,7,0.07919621749408984,846
249,8,0.0761904761904762,1260
249,9,0.08075709779179811,1585
249,10,0.09698403311649911,1691
249,11,0.10890493381468111,1662
249,12,0.1196808510638298,1880
249,13,0.11131898971000935,2138
249,14,0.10799837596427121,2463
249,15,0.09991909385113269,2472
249,16,0.11371914204775395,2471
249,17,0.08681672025723473,2799
249,18,0.08971744829595106,3433
249,19,0.0676033934252386,3772
249,20,0.07174063002989194,4349
249,21,0.06399574543520653,5641
249,22,0.06036287508722959,5732
249,23,0.06350693143499438,5338
263,0,0.10341805433829973,1141
263,1,0.0997191011235955,712
263,2,0.09282700421940929,474
263,3,0.10839160839160839,286
263,4,0.14122137404580154,262
263,5,0.09502262443438914,442
263,6,0.1001890359168242,1058
263,7,0.07724252491694353,2408
263,8,0.07955418908531899,2602
263,9,0.10772428126082438,2887
263,10,0.12464319695528069,3153
263,11,0.11570782159017454,3094
263,12,0.13805631244323344,3303
263,13,0.14554275318374774,3298
263,14,0.14856136230182032,3406
263,15,0.12409394027254277,3449
263,16,0.11282516636418632,3306
263,17,0.11493598862019914,3515
263,18,0.09782608695652174,3588
263,19,0.09504262709188506,3167
263,20,0.10418071476736346,2966
263,21,0.08173734610123119,2924
263,22,0.07439446366782007,2312
263,23,0.08364083640836409,1626
